Prey Type,Calories
Odonata,0.00844967
Odonata,0.010096236
Odonata,0.010212188
Odonata,0.010924372
Odonata,0.011539606
Odonata,0.012046168
Odonata,0.012174818
Odonata,0.012565615
Odonata,0.012697501
Odonata,0.012963715
Odonata,0.013233192
Odonata,0.013781988
Odonata,0.013921246
Odonata,0.015211937
Odonata,0.015211937
Odonata,0.015807349
Odonata,0.015807349
Odonata,0.015807349
Odonata,0.015958312
Odonata,0.015958312
Odonata,0.01641629
Odonata,0.017514771
Odonata,0.018325211
Odonata,0.018989186
Odonata,0.018989186
Odonata,0.019157361
Odonata,0.019326411
Odonata,0.019496338
Odonata,0.019496338
Odonata,0.019667143
Odonata,0.020184841
Odonata,0.020184841
Odonata,0.020887481
Odonata,0.020887481
Odonata,0.020887481
Odonata,0.02124413
Odonata,0.02124413
Odonata,0.02124413
Odonata,0.021423791
Odonata,0.02215138
Odonata,0.02215138
Odonata,0.02215138
Odonata,0.022335521
Odonata,0.022520561
Odonata,0.022893345
Odonata,0.023841146
Odonata,0.024615767
Odonata,0.025008565
Odonata,0.025405037
Odonata,0.025604654
Odonata,0.025805192
Odonata,0.026006654
Odonata,0.026412354
Odonata,0.026821763
Odonata,0.026821763
Odonata,0.027234892
Odonata,0.02765175
Odonata,0.027861581
Odonata,0.028072348
Odonata,0.028072348
Odonata,0.028072348
Odonata,0.028284053
Odonata,0.028284053
Odonata,0.028496696
Odonata,0.02871028
Odonata,0.02871028
Odonata,0.029356683
Odonata,0.02957404
Odonata,0.030231792
Odonata,0.030675042
Odonata,0.030898095
Odonata,0.030898095
Odonata,0.031122102
Odonata,0.031122102
Odonata,0.031122102
Odonata,0.031347064
Odonata,0.031347064
Odonata,0.031572982
Odonata,0.031799858
Odonata,0.031799858
Odonata,0.032256487
Odonata,0.032256487
Odonata,0.032716961
Odonata,0.032716961
Odonata,0.032716961
Odonata,0.032948643
Odonata,0.03318129
Odonata,0.033414903
Odonata,0.033649483
Odonata,0.033885032
Odonata,0.03435904
Odonata,0.03435904
Odonata,0.03435904
Odonata,0.034597501
Odonata,0.034597501
Odonata,0.035077346
Odonata,0.035561094
Odonata,0.036540338
Odonata,0.036787604
Odonata,0.03753531
Odonata,0.037786519
Odonata,0.038291906
Odonata,0.038546086
Odonata,0.039831895
Odonata,0.040353199
Odonata,0.040615352
Odonata,0.040878506
Odonata,0.041407824
Odonata,0.041673991
Odonata,0.041673991
Odonata,0.041673991
Odonata,0.041941164
Odonata,0.042478535
Odonata,0.042478535
Odonata,0.042478535
Odonata,0.042478535
Odonata,0.042748735
Odonata,0.043292168
Odonata,0.044391205
Odonata,0.044946827
Odonata,0.045226168
Odonata,0.04550653
Odonata,0.04550653
Odonata,0.045787915
Odonata,0.046070323
Odonata,0.046923701
Odonata,0.047210216
Odonata,0.047497759
Odonata,0.049539478
Odonata,0.049835297
Odonata,0.050132154
Odonata,0.050728992
Odonata,0.05133
Odonata,0.051935188
Odonata,0.052239352
Odonata,0.052544564
Odonata,0.053158137
Odonata,0.053158137
Odonata,0.053466501
Odonata,0.055654577
Odonata,0.056608204
Odonata,0.057571403
Odonata,0.057894601
Odonata,0.057894601
Odonata,0.058218867
Odonata,0.058544201
Odonata,0.058544201
Odonata,0.059526629
Odonata,0.060186943
Odonata,0.060851559
Odonata,0.061520484
Odonata,0.061856565
Odonata,0.062871296
Odonata,0.063211706
Odonata,0.063211706
Odonata,0.063211706
Odonata,0.06389578
Odonata,0.065276978
Odonata,0.065625002
Odonata,0.068091809
Odonata,0.069886771
Odonata,0.069886771
Odonata,0.069886771
Odonata,0.070976994
Odonata,0.073559658
Odonata,0.07393306
Odonata,0.07393306
Odonata,0.074307579
Odonata,0.074683213
Odonata,0.075059966
Odonata,0.075437837
Odonata,0.075816828
Odonata,0.07696053
Odonata,0.07734401
Odonata,0.079278301
Odonata,0.079278301
Odonata,0.079668544
Odonata,0.081240835
Odonata,0.081636742
Odonata,0.081636742
Odonata,0.082431965
Odonata,0.083231738
Odonata,0.085658442
Odonata,0.086887245
Odonata,0.086887245
Odonata,0.087712189
Odonata,0.089375889
Odonata,0.089794697
Odonata,0.091481494
Odonata,0.092331844
Odonata,0.094478054
Odonata,0.095344693
Odonata,0.095344693
Odonata,0.096653413
Odonata,0.097091993
Odonata,0.097531744
Odonata,0.099302486
Odonata,0.09974811
Odonata,0.10154239
Odonata,0.102446612
Odonata,0.103355567
Odonata,0.103355567
Odonata,0.107504623
Odonata,0.121033951
Odonata,0.122539851
Odonata,0.124056746
Odonata,0.239054347
Shrimp,0.127446558
Shrimp,0.12136157
Shrimp,0.101457205
Shrimp,0.091953805
Shrimp,0.086742401
Shrimp,0.086519964
Shrimp,0.083007622
Shrimp,0.065982669
Shrimp,0.0646691
Shrimp,0.053221217
Shrimp,0.053055509
Shrimp,0.052231637
Shrimp,0.045012635
Shrimp,0.044713351
Shrimp,0.044713351
Shrimp,0.042506917
Shrimp,0.041215217
Shrimp,0.040507958
Shrimp,0.037483117
Shrimp,0.037081556
Shrimp,0.034470719
Shrimp,0.034088964
Shrimp,0.033835882
Shrimp,0.031973831
Shrimp,0.031851947
Shrimp,0.030767575
Shrimp,0.026002638
Shrimp,0.024416699
Shrimp,0.020384221
Shrimp,0.01779259
Shrimp,0.014942842
Shrimp,0.011642893
Shrimp,0.008328464
Shrimp,0.007692543
Shrimp,0.007385929
Shrimp,0.002494414
Hemiptera,0.068326481
Hemiptera,0.064128022
Hemiptera,0.06270176
Hemiptera,0.060247949
Hemiptera,0.05955669
Hemiptera,0.058869792
Hemiptera,0.05304469
Hemiptera,0.052560808
Hemiptera,0.051759723
Hemiptera,0.049552424
Hemiptera,0.048314696
Hemiptera,0.047854959
Hemiptera,0.047245714
Hemiptera,0.046040019
Hemiptera,0.045146922
Hemiptera,0.044263384
Hemiptera,0.042096244
Hemiptera,0.040127134
Hemiptera,0.034018323
Hemiptera,0.022714964
Hemiptera,0.036442841
Hemiptera,0.048601911
Hemiptera,0.160054449
Hemiptera,0.179976497
Hemiptera,0.063670164
Hemiptera,0.080499962
Hemiptera,0.143980478
Hemiptera,0.242721712
Fish,0.274594943
Fish,0.270033337
Fish,0.267598058
Fish,0.214036002
Fish,0.20402755
Fish,0.199712704
Fish,0.188228816
Fish,0.184139555
Fish,0.157397871
Fish,0.150430875
Fish,0.147842754
Fish,0.136450756
Fish,0.104495133
Fish,0.087650143
Fish,0.081673389
Fish,0.081201012
Fish,0.078098105
Fish,0.077334878
Fish,0.076727873
Fish,0.072713127
Fish,0.064971373
Fish,0.063893102
Fish,0.044537637
Fish,0.043907722
Fish,0.042768292
Fish,0.029294088
Fish,0.026886858
Fish,0.020460245
Fish,0.012257365
Fish,0.060578028
Fish,0.084052972
Fish,0.319903938
Fish,0.018058879
Fish,0.064634917
Fish,0.070027718
Fish,0.730499232
Fish,1.798250556
Fish,0.421710819
